"uuid","key","media_type","value","created_timestamp","last_updated_timestamp","image","image_uuid","column1","id","mediatype","createdtimestamp","lastupdatedtimestamp"
"0aef336d-f7df-42d8-bbeb-dff808dcc79c",source,,MBARI/VARS,,,"","0fe47970-8edb-4889-bcbf-845ee959a39c",77,"",text/plain,"",""
e4b59abe-3036-410f-a86e-769fa5152461,source,,MBARI/VARS,,,"","0ff00125-fe5b-4753-92a3-ef90b27bc15c",78,"",text/plain,"",""
"591839fc-75a6-4d0b-b444-376fc28b3ee0",source,,MBARI/VARS,,,"","1077d96c-ded7-45df-b890-71e72915c348",79,"",text/plain,"",""
"13f0a4b6-3f4d-4dc4-a880-f534b1efbfdb",source,,MBARI/VARS,,,"","1097bdfa-198b-4ada-b062-616958b670b2",80,"",text/plain,"",""
"24cdc460-09fc-4526-95bc-2e6bf779dffd",source,,MBARI/VARS,,,"","112fecbc-b6f0-4a29-9185-cf78732e738d",81,"",text/plain,"",""
c90ba093-bdd2-4473-a18e-60f2d2f35dcc,source,,MBARI/VARS,,,"","1175c23d-5cfd-4c87-ae90-c648cb0e8bb9",82,"",text/plain,"",""
"56cf87f7-3ab1-4247-a010-3cf65048a526",source,,MBARI/VARS,,,"","11ca82dd-6069-408b-a81c-915255b3a6af",83,"",text/plain,"",""
"4f24ae85-dbf1-4d29-9104-5fd9fa553fa0",source,,MBARI/VARS,,,"","11ffaafc-d5e1-4afb-8a27-56229cf01b28",84,"",text/plain,"",""
"53c2700e-765f-40e5-85b6-f6fd3d5e472a",source,,MBARI/VARS,,,"","122682f0-febe-443f-be4a-b18644eb31dd",85,"",text/plain,"",""
"6324dd02-8104-4d5b-8f3b-3d66bb774f7c",source,,MBARI/VARS,,,"","122d7685-d84d-4bb1-98ea-c8b6daa4699e",86,"",text/plain,"",""
"064cdb97-11e0-456d-a78a-21ad5d33b2b2",source,,MBARI/VARS,,,"","12cc1736-e22f-4efd-ba48-de913e600958",87,"",text/plain,"",""
"44efe3e2-98e9-4624-b0db-f22e818b0e16",source,,MBARI/VARS,,,"","12ce8884-d0eb-4d84-b8ab-5dc48cdcba81",88,"",text/plain,"",""
"553d762d-7dc8-4105-89d3-6fdfe7808531",source,,MBARI/VARS,,,"","12d56090-46f9-455f-ba72-552ef990bd3a",89,"",text/plain,"",""
"58711639-cf6f-4acc-888f-e787d04bd34f",source,,MBARI/VARS,,,"","12d671a7-5602-43a7-ba86-c497cf5207ed",90,"",text/plain,"",""
a7af0718-56f9-47a7-9682-379a81723fb4,source,,MBARI/VARS,,,"","12e1bfd6-f17e-42a3-b8c3-d050f2e31fea",91,"",text/plain,"",""
"32a311fd-1d3e-4ced-b785-ebda61edd7e4",source,,MBARI/VARS,,,"","1337202f-38b0-4a66-ae48-948890e60c64",92,"",text/plain,"",""
da8e4c13-2552-4920-857b-e74746219a2e,source,,MBARI/VARS,,,"","1369b96d-dc62-493a-9a24-903fa802c3a6",93,"",text/plain,"",""
"82caf0f2-23d9-4d06-86f3-3b24674c7399",source,,MBARI/VARS,,,"","136dc01b-ecf1-4dc0-ba20-53a6451fb977",94,"",text/plain,"",""
"4be7920c-1037-4e74-b9e5-98a54f674764",source,,MBARI/VARS,,,"","13703f26-876e-4edc-9fb1-d408bb6f8f44",95,"",text/plain,"",""
"54b715cc-c762-4eff-b18b-2560acc2d09c",source,,MBARI/VARS,,,"","13804a08-4134-4b57-9947-5b4df7157e3c",96,"",text/plain,"",""
"637237f8-49fe-4134-a7c4-908a7fc62c1f",source,,MBARI/VARS,,,"","13ef4af0-5308-48c8-8ab8-939fa705e2ff",99,"",text/plain,"",""
"963c3c07-be3e-422d-9264-2120d5ca7a4a",source,,MBARI/VARS,,,"","140513f4-68ac-4d93-b2e9-517765e09f46",100,"",text/plain,"",""
"89954ad2-f287-42d7-b304-a54cb5c61a94",source,,MBARI/VARS,,,"","1407114b-066c-4154-845b-3c852660d3d5",101,"",text/plain,"",""
"7bde8f2b-328a-481b-814d-0ac98d3a32c9",source,,MBARI/VARS,,,"","144d052b-4104-46e9-9b4e-a447889fac89",102,"",text/plain,"",""
cdb52a1a-bcdc-44d8-91e7-a6238daea0ea,source,,MBARI/VARS,,,"","1495cbb9-f633-44f2-8d30-5566d4917e3e",103,"",text/plain,"",""
df03a9a1-fde0-402a-bd09-cb30f255204b,source,,MBARI/VARS,,,"","1498d61c-7e5f-411e-969c-6333c284c3fb",104,"",text/plain,"",""
"39ad51ac-a8dc-41e2-8d42-212256d93ce5",source,,MBARI/VARS,,,"","14eb772b-4d68-4a16-b860-f9a2cc8fb4de",105,"",text/plain,"",""
fb896bd0-9c15-4be0-bebf-6f3559999c0f,source,,MBARI/VARS,,,"","15288c88-747e-494e-b023-fd28d9a84e3a",106,"",text/plain,"",""
"086205c2-e7d9-43af-a371-ed8840b3a9bb",source,,MBARI/VARS,,,"","15682d82-8a7d-454c-aef3-41b24bf8ac07",107,"",text/plain,"",""
"1cd5de0d-08c6-4aac-8c8e-ac16707a9865",source,,MBARI/VARS,,,"","15d63b2b-74aa-4d1a-b4e7-20707319f618",108,"",text/plain,"",""
"596c3b28-fa09-4772-a15f-e25312e46891",source,,MBARI/VARS,,,"","1652ef98-8597-4052-91f1-fb62851fc2d9",109,"",text/plain,"",""
ad433fe7-1a79-4cfa-b267-dc4af6623c60,source,,MBARI/VARS,,,"","1669c6e3-4bfc-495a-a4a8-4b35b7b644fb",110,"",text/plain,"",""
"53f1d728-4625-40ab-acd0-987ca5cb12c0",source,,MBARI/VARS,,,"","173744e8-d656-4a60-ba05-79359ced2eab",112,"",text/plain,"",""
"13361aa8-812e-4bf8-b233-eeac2fc3e82c",source,,MBARI/VARS,,,"","178fa8c3-f1e3-4ad8-9b4d-3619f4a290a3",113,"",text/plain,"",""
efbea6b5-9bfa-4c7b-9bbd-9849e35c3bd7,source,,MBARI/VARS,,,"","1833dc92-cce8-4052-9684-c8f92a95d34e",114,"",text/plain,"",""
"806c88bc-0291-4199-a75f-ce58d2cde907",source,,MBARI/VARS,,,"","185fcec0-8cad-4102-9e75-49436f33ef13",115,"",text/plain,"",""
"5a905244-5959-4463-adf8-2587fe7e2bfd",source,,MBARI/VARS,,,"","18c98f2d-a42f-497b-ad3b-5f7a963b11c2",116,"",text/plain,"",""
"205fffb8-d27a-452a-8a82-a9dccabd27a4",source,,MBARI/VARS,,,"","19323dd3-dbee-466e-9fc2-48d6049b57bd",117,"",text/plain,"",""
bf1bd02d-0d69-4276-995c-410218b733de,source,,MBARI/VARS,,,"","1970429d-6205-48c7-a267-5d8959182621",118,"",text/plain,"",""
"76dd6286-47ca-4dfe-b381-ad03f2af4a63",source,,MBARI/VARS,,,"","199c8169-a677-48ea-8ce9-15f5dc6a47e3",119,"",text/plain,"",""
"415d1ab0-0b79-4864-b254-292f1ad54bc7",source,,MBARI/VARS,,,"","19b23e6b-8c3d-4eb5-9066-f368b453b8cb",120,"",text/plain,"",""
bcb4f271-e8cc-4408-b85e-a4c18f128374,source,,MBARI/VARS,,,"","19b47aaf-f5c5-4ceb-9e2b-27d72dcb4458",121,"",text/plain,"",""
"310e0873-f18b-488f-9761-170e83447349",source,,MBARI/VARS,,,"","19c93e76-027d-4d5c-9f28-e4baa483b660",122,"",text/plain,"",""
a2137dbd-5979-43dd-8fda-9c5c07647306,source,,MBARI/VARS,,,"","1a0148ac-1b1d-44ba-993d-2241166faaf7",123,"",text/plain,"",""
c9db4281-ed71-43e1-872d-2acb635e6831,source,,MBARI/VARS,,,"","1a156563-17e2-4c1b-9bee-04a0a8b2916d",124,"",text/plain,"",""
"63a898e6-1d9c-49c6-a048-9dbf0a104269",source,,MBARI/VARS,,,"","1a5f8892-e101-4d13-985c-01b9f29fcc15",125,"",text/plain,"",""
"30151750-623b-482f-aa8f-05e2783699a6",source,,MBARI/VARS,,,"","1aab4c8a-62bc-423c-bb62-9ab3d0caf8f7",127,"",text/plain,"",""
"95338630-1480-4b0c-b8e0-b3e3f1fbac45",source,,MBARI/VARS,,,"","1ac434b4-26e8-427d-bf3d-ba6e3c87be94",128,"",text/plain,"",""
"704c539b-d045-4258-b1be-90e00431eccd",source,,MBARI/VARS,,,"","1aebfe7d-ef6e-46a5-9d6a-f566e1871548",129,"",text/plain,"",""
"6c766f7f-b1c1-4fcc-82ae-52d839035cb5",source,,MBARI/VARS,,,"","1b294a5d-4ec2-4f0d-b0b4-a3df6661235b",130,"",text/plain,"",""
"1bfc6b40-89aa-4a62-96ce-d467debdfcfd",source,,MBARI/VARS,,,"","1b495cd6-5cce-43b6-9975-80311e680347",131,"",text/plain,"",""
"88bb6a2d-1a6c-4767-bf2e-87a9260ccbd7",source,,MBARI/VARS,,,"","1b8d0164-f262-46e3-8c95-4b92440c6d5c",132,"",text/plain,"",""
"62e905be-a8c3-4354-b62a-6767fdd1ee13",source,,MBARI/VARS,,,"","1c8d1e42-c935-4843-9020-afbb1a1097a8",133,"",text/plain,"",""
"72aa6c3a-c00d-4674-990b-2f3066072472",source,,MBARI/VARS,,,"","1c9b90af-51a3-4a99-9730-87897e82c8a7",134,"",text/plain,"",""
ee96f61d-3a83-4212-8002-86c5a388d588,source,,MBARI/VARS,,,"","1cc0c473-a686-449d-b127-b7274a2f57c8",135,"",text/plain,"",""
ad1e09fd-58d6-44bf-ba0a-c00a09bb641f,source,,MBARI/VARS,,,"","1cd70820-42a9-4039-b4a0-39f0cac2ffe4",137,"",text/plain,"",""
c5cf4cef-e288-438d-b8ea-58f6ad81744d,source,,MBARI/VARS,,,"","1d51edbc-f1b8-4dcb-8be3-08c228c57705",138,"",text/plain,"",""
"2f34e276-16ae-4f8a-9689-78c410f2a84e",source,,MBARI/VARS,,,"","1d6c6aa5-3b6d-403f-9f8c-9b3b4bd883c7",139,"",text/plain,"",""
dadf3b10-fb75-45b2-ba75-6e468ab933d8,source,,MBARI/VARS,,,"","1d6dfe45-ecb4-484c-b6af-f788981d8184",140,"",text/plain,"",""
"9aab3dab-f99d-49e6-a60b-d1fab8cf598b",source,,MBARI/VARS,,,"","1e26e5f7-67d5-4d8c-8df4-0be64c9cf7bc",142,"",text/plain,"",""
"7b8c4875-dbfd-49f4-aec0-581e325c59b3",source,,MBARI/VARS,,,"","1e297e1d-1ddb-4c9e-af61-30dbbdb64dfe",143,"",text/plain,"",""
"893c0b37-999b-454c-b0a2-cc7dabb58f94",source,,MBARI/VARS,,,"","1e60df87-6afe-4eb5-b32b-a02883fa713f",144,"",text/plain,"",""
"7639fedb-796e-47f8-8e34-6aee25ec2089",source,,MBARI/VARS,,,"","1e634b6e-d5be-4e44-be2a-6b7372bf1050",145,"",text/plain,"",""
"4e694e9c-e9fa-4b5d-80c2-9e416d3fa86f",source,,MBARI/VARS,,,"","1eb66ef0-9af6-432d-95d2-181e0e83d7d7",146,"",text/plain,"",""
"1918eae7-7a42-477d-b1a3-32de40993238",source,,MBARI/VARS,,,"","1f0ec779-42ea-4b37-ba41-0db5513604b1",149,"",text/plain,"",""
"65f07dce-060c-4494-b97f-c664d8c022a0",source,,MBARI/VARS,,,"","1f1f9e6f-251f-4acf-9a73-7666f882cd88",150,"",text/plain,"",""
"81c2d215-7269-4378-aafc-05acfaeb7284",source,,MBARI/VARS,,,"","1f3fa0de-6c03-4000-815c-3081c725b14b",151,"",text/plain,"",""
"5e7debea-e566-4096-85da-2578579ecc46",source,,MBARI/VARS,,,"","1f6ea5e3-86f5-4695-9afc-eb720a7efb97",152,"",text/plain,"",""
"7443ff0a-7ef1-4007-9fc3-99c1a1968b74",source,,MBARI/VARS,,,"","1f787efc-924b-4bee-8b9b-eef0a0b24d85",153,"",text/plain,"",""
"1b314f90-b434-4349-a824-66e8de02815d",source,,MBARI/VARS,,,"","1fa10d29-83b8-4af1-98d2-30100d02e0a9",154,"",text/plain,"",""
d1f4861f-45a4-4390-970e-0bd210db39eb,source,,MBARI/VARS,,,"","1fdefd05-e86d-4c8f-9c44-6bfa395dce94",155,"",text/plain,"",""
"97b3ed51-ffc4-4718-9a5c-2033f5f772f1",source,,MBARI/VARS,,,"","1fe4c308-a59c-409f-8998-42d4bf7bf99d",156,"",text/plain,"",""
f35177b8-0da1-402e-b051-0dfd9f20fdb8,source,,MBARI/VARS,,,"","201785ac-d02f-41a6-a162-ed162b914cf0",157,"",text/plain,"",""
"2e636b7c-8645-4cf9-a924-e025142c5d02",source,,MBARI/VARS,,,"","20182d27-40b0-4f2c-a31d-6957a0ba3d03",158,"",text/plain,"",""
"5f399a45-9653-4583-ae87-f22c9362c94d",source,,MBARI/VARS,,,"","206c361e-9140-4a24-82a4-590090cc8f92",159,"",text/plain,"",""
e663fc73-41ef-450d-a095-22cd23d333c0,source,,MBARI/VARS,,,"","207f03e4-7f30-4a6f-b5f6-31e39cdbbacf",160,"",text/plain,"",""
d87b73b9-a79b-4609-ad10-4ca1000e3df4,source,,MBARI/VARS,,,"","209ae188-bb2e-4a7f-9ab9-a3c89974f43d",161,"",text/plain,"",""
"595df1c4-8871-497a-b899-335ffb5c10ca",source,,MBARI/VARS,,,"","2131d271-47c6-434f-927f-840cd0194cb2",162,"",text/plain,"",""
"7ff52318-15d8-417d-aed5-70bca3e1a8d2",source,,MBARI/VARS,,,"","217f7c66-2270-4176-9ca8-ca112fe86f4f",164,"",text/plain,"",""
"22a81e7e-2876-4b87-8bc0-0cded220c33b",source,,MBARI/VARS,,,"","2189a3e2-0b36-4dd8-9443-d19e47ae1bb7",165,"",text/plain,"",""
e840ff9b-79e0-48a1-b403-61a704e5f5dd,source,,MBARI/VARS,,,"","219e57a6-88cb-4494-a892-252e67887642",166,"",text/plain,"",""
"214e6543-e639-43b3-b603-5f6867ef7d73",source,,MBARI/VARS,,,"","21baa550-ff78-44ab-a2ec-08658b063c13",167,"",text/plain,"",""
fe303d93-129c-4e27-b0ab-6dbc7e3ffe47,source,,MBARI/VARS,,,"","21e9a0c5-5410-4bf8-8ae3-a02b87f381cf",168,"",text/plain,"",""
"2dbdae92-8132-46a1-be15-bc9b95da1c70",source,,MBARI/VARS,,,"","21faf19f-b993-4725-9622-b58a47dd2c80",169,"",text/plain,"",""
"457fb91c-112a-47e8-88f4-d6f8798c9b9c",source,,MBARI/VARS,,,"","223678a1-161d-4433-947e-78c3e91643e4",170,"",text/plain,"",""
"71066e07-b485-4cc7-a118-d4eac2126108",source,,MBARI/VARS,,,"","2258557d-19d5-4222-b6af-20e73c12e7f9",171,"",text/plain,"",""
e658d2ed-d129-4ada-b426-5506295b2e60,source,,MBARI/VARS,,,"","2287bf63-34c4-47b1-9d28-801b74cb0ca1",172,"",text/plain,"",""
b98fb800-f7a4-4c10-a0bd-03341d80b5ad,source,,MBARI/VARS,,,"","22ce0ee5-8773-4167-898e-22be7429a40c",173,"",text/plain,"",""
fb69fefe-4df9-422e-8d17-195236b1de1a,source,,MBARI/VARS,,,"","22d71b9f-c548-4bcc-9f65-cafaab75fbd0",174,"",text/plain,"",""
bd333b4f-2349-4ca9-a474-c219e21c18e4,source,,MBARI/VARS,,,"","22d78a0d-b402-4112-a1c5-ef937ee70ff1",175,"",text/plain,"",""
"80542c6d-5dce-4cf0-bcd1-b73d5b7d4233",source,,MBARI/VARS,,,"","22d9c31b-6429-4ee1-b287-f0f3e48fabbe",176,"",text/plain,"",""
"565dd5e3-d9cc-4a3d-9608-bb520e8d4406",source,,MBARI/VARS,,,"","22de8192-d93f-4d89-ac97-e202bc9d91d5",177,"",text/plain,"",""
"4b6a309f-2781-4ac5-b6f7-a753f6eacb23",source,,MBARI/VARS,,,"","22e42237-f5d1-4748-8eeb-8d3779bc9a2d",178,"",text/plain,"",""
bd3576e4-2720-4110-a2f9-3eec9e44c2cb,source,,MBARI/VARS,,,"","22feb279-5234-43a6-bd7f-12c6b647e8b8",179,"",text/plain,"",""
b2081a3c-ae15-4fae-8486-86bcc9cc5dee,source,,MBARI/VARS,,,"","23d5b247-fe26-46e1-ae16-e6340600fec9",182,"",text/plain,"",""
"31136fe2-a8b6-4147-9fdd-001ef357348f",source,,MBARI/VARS,,,"","23e299ad-7f24-493d-8686-fff7059364b8",184,"",text/plain,"",""
"5f9c091b-7c46-4e22-95ab-2494d089e8aa",source,,MBARI/VARS,,,"","2441c31f-d226-469b-9c8f-864c3cb42c24",185,"",text/plain,"",""
e2aeb113-af91-45d6-9194-001efc238f1a,source,,MBARI/VARS,,,"","2451d8c5-8b3e-4a3b-9a00-b6250fe3131f",186,"",text/plain,"",""
f495c785-aca6-43be-81f5-c4a69dc8ca11,source,,MBARI/VARS,,,"","24584032-b6ce-45ca-86b3-0f454f3383eb",187,"",text/plain,"",""
"40ba2892-388f-44d0-8bae-d5fc1d2d1875",source,,MBARI/VARS,,,"","2466f89e-0539-4e6d-afa9-d94ab51528d7",188,"",text/plain,"",""
"02271c9e-0067-43bd-977e-977d9ec52075",source,,MBARI/VARS,,,"","24bc5d70-26bc-42a9-a2aa-749877f66963",189,"",text/plain,"",""
"99b08568-9799-43b7-9b15-980c22363877",source,,MBARI/VARS,,,"","24e1156a-0844-49e0-8a6c-f95481ee5656",190,"",text/plain,"",""
